"","x","dsptc_d","dsptc_t","hour","lat","lon","line_name","station_na","wkb_geometry"
"1",1,"2016-01-28","12:46:00",12,40.052561,-75.180695,"Chestnut Hill East Line","Stenton",c(-75.180695, 40.052561)
"2",2,"2016-01-26","15:52:00",15,40.022889,-75.151526,"Joint","Wayne Junction",c(-75.151526, 40.022889)
"3",4,"2016-03-09","15:44:00",15,40.024991,-75.169281,"Chestnut Hill West Line","Queen Lane",c(-75.169281, 40.024991)
"4",6,"2016-03-24","17:13:00",17,39.952586,-75.16523,"Joint","Suburban Station",c(-75.16523, 39.952586)
"5",6,"2016-03-24","17:13:00",17,39.952586,-75.16523,"Joint","Jefferson",c(-75.16523, 39.952586)
"6",11,"2016-03-24","17:40:00",17,40.057128,-75.166554,"Chestnut Hill East Line","Washington Lane",c(-75.166554, 40.057128)
"7",12,"2016-03-24","18:09:00",18,40.07707,-75.20812,"Chestnut Hill West Line","Highland",c(-75.20812, 40.07707)
"8",12,"2016-03-24","18:09:00",18,40.07707,-75.20812,"Chestnut Hill East Line","Gravers",c(-75.20812, 40.07707)
"9",12,"2016-03-24","18:09:00",18,40.07707,-75.20812,"Chestnut Hill East Line","Chestnut Hill East",c(-75.20812, 40.07707)
"10",12,"2016-03-24","18:09:00",18,40.07707,-75.20812,"Chestnut Hill West Line","Chestnut Hill West",c(-75.20812, 40.07707)
"11",21,"2016-03-09","12:30:00",12,40.061746,-75.083429,"Fox Chase Line","Ryers",c(-75.083429, 40.061746)
"12",26,"2016-03-24","14:25:00",14,40.06826,-75.08427,"Fox Chase Line","Ryers",c(-75.08427, 40.06826)
"13",26,"2016-03-24","14:25:00",14,40.06826,-75.08427,"Fox Chase Line","Fox Chase",c(-75.08427, 40.06826)
"14",38,"2016-03-09","15:13:00",15,39.951136,-75.153585,"Joint","Jefferson",c(-75.153585, 39.951136)
"15",39,"2016-03-09","19:08:00",19,39.951723,-75.158309,"Joint","Jefferson",c(-75.158309, 39.951723)
"16",41,"2016-03-24","15:26:00",15,40.076215,-75.075107,"Fox Chase Line","Fox Chase",c(-75.075107, 40.076215)
"17",46,"2016-03-10","05:13:00",5,40.081111,-75.078177,"Fox Chase Line","Fox Chase",c(-75.078177, 40.081111)
"18",51,"2016-03-09","16:12:00",16,39.94952,-75.165283,"Joint","Suburban Station",c(-75.165283, 39.94952)
"19",51,"2016-03-09","16:12:00",16,39.94952,-75.165283,"Joint","Jefferson",c(-75.165283, 39.94952)
"20",58,"2016-06-23","10:54:00",10,39.95637,-75.162605,"Joint","Suburban Station",c(-75.162605, 39.95637)
"21",58,"2016-06-23","10:54:00",10,39.95637,-75.162605,"Joint","Jefferson",c(-75.162605, 39.95637)
"22",60,"2016-08-18","16:18:00",16,40.025287,-75.223046,"Manayunk Norristown Line","Manayunk",c(-75.223046, 40.025287)
"23",61,"2016-06-02","19:08:00",19,40.036589,-75.233121,"Manayunk Norristown Line","Ivy Ridge",c(-75.233121, 40.036589)
"24",66,"2016-03-10","00:50:00",0,40.031556,-75.128657,"Fox Chase Line","Olney",c(-75.128657, 40.031556)
"25",67,"2016-03-09","06:35:00",6,40.0054,-75.158572,"Manayunk Norristown Line","Allegheny",c(-75.158572, 40.0054)
"26",67,"2016-03-09","06:35:00",6,40.0054,-75.158572,"Trenton Line","North Philadelphia",c(-75.158572, 40.0054)
"27",67,"2016-03-09","06:35:00",6,40.0054,-75.158572,"Chestnut Hill West Line","North Philadelphia",c(-75.158572, 40.0054)
"28",68,"2016-03-25","00:27:00",0,40.026059,-75.164676,"Joint","Wayne Junction",c(-75.164676, 40.026059)
"29",70,"2016-03-09","20:37:00",20,40.057258,-75.183903,"Chestnut Hill East Line","Stenton",c(-75.183903, 40.057258)
"30",70,"2016-03-09","20:37:00",20,40.057258,-75.183903,"Chestnut Hill East Line","Sedgwick",c(-75.183903, 40.057258)
"31",76,"2016-01-07","14:35:00",14,40.021515,-75.166904,"Joint","Wayne Junction",c(-75.166904, 40.021515)
"32",87,"2016-01-08","09:14:00",9,39.986821,-75.152321,"Joint","North Broad",c(-75.152321, 39.986821)
"33",87,"2016-01-08","09:14:00",9,39.986821,-75.152321,"Joint","Temple University",c(-75.152321, 39.986821)
"34",92,"2016-01-05","20:53:00",20,39.95255,-75.165287,"Joint","Suburban Station",c(-75.165287, 39.95255)
"35",92,"2016-01-05","20:53:00",20,39.95255,-75.165287,"Joint","Jefferson",c(-75.165287, 39.95255)
"36",94,"2016-01-07","17:44:00",17,40.014574,-75.156666,"Joint","Wayne Junction",c(-75.156666, 40.014574)
"37",95,"2016-01-02","17:15:00",17,39.951101,-75.153641,"Joint","Jefferson",c(-75.153641, 39.951101)
"38",96,"2016-01-02","18:45:00",18,39.945686,-75.162799,"Joint","Jefferson",c(-75.162799, 39.945686)
"39",99,"2016-01-12","16:22:00",16,39.953438,-75.172397,"Joint","Suburban Station",c(-75.172397, 39.953438)
"40",100,"2016-01-12","16:56:00",16,39.95255,-75.165287,"Joint","Suburban Station",c(-75.165287, 39.95255)
"41",100,"2016-01-12","16:56:00",16,39.95255,-75.165287,"Joint","Jefferson",c(-75.165287, 39.95255)
"42",104,"2016-01-09","15:30:00",15,40.05776,-75.083621,"Fox Chase Line","Ryers",c(-75.083621, 40.05776)
"43",111,"2016-01-08","19:58:00",19,40.061501,-74.984643,"Trenton Line","Torresdale",c(-74.984643, 40.061501)
"44",112,"2016-01-05","21:00:00",21,39.997665,-75.153853,"Joint","North Broad",c(-75.153853, 39.997665)
"45",112,"2016-01-05","21:00:00",21,39.997665,-75.153853,"Trenton Line","North Philadelphia",c(-75.153853, 39.997665)
"46",112,"2016-01-05","21:00:00",21,39.997665,-75.153853,"Chestnut Hill West Line","North Philadelphia",c(-75.153853, 39.997665)
"47",113,"2016-01-09","08:36:00",8,39.952,-75.172658,"Joint","Suburban Station",c(-75.172658, 39.952)
"48",114,"2016-01-09","13:07:00",13,39.955775,-75.173701,"Joint","30th Street Station",c(-75.173701, 39.955775)
"49",114,"2016-01-09","13:07:00",13,39.955775,-75.173701,"Joint","Suburban Station",c(-75.173701, 39.955775)
"50",119,"2016-01-07","12:10:00",12,39.948119,-75.173486,"Joint","Suburban Station",c(-75.173486, 39.948119)
"51",120,"2016-01-06","11:21:00",11,40.038316,-75.173715,"Chestnut Hill East Line","Germantown",c(-75.173715, 40.038316)
"52",121,"2016-01-06","13:11:00",13,39.953659,-75.156326,"Joint","Jefferson",c(-75.156326, 39.953659)
"53",122,"2016-01-06","14:33:00",14,39.947015,-75.162622,"Joint","Suburban Station",c(-75.162622, 39.947015)
"54",122,"2016-01-06","14:33:00",14,39.947015,-75.162622,"Joint","Jefferson",c(-75.162622, 39.947015)
"55",123,"2016-01-06","17:11:00",17,40.036765,-75.025037,"Trenton Line","Holmesburg Junction",c(-75.025037, 40.036765)
"56",124,"2016-01-07","20:28:00",20,39.950842,-75.164068,"Joint","Suburban Station",c(-75.164068, 39.950842)
"57",124,"2016-01-07","20:28:00",20,39.950842,-75.164068,"Joint","Jefferson",c(-75.164068, 39.950842)
"58",125,"2016-01-10","10:57:00",10,39.95255,-75.165287,"Joint","Suburban Station",c(-75.165287, 39.95255)
"59",125,"2016-01-10","10:57:00",10,39.95255,-75.165287,"Joint","Jefferson",c(-75.165287, 39.95255)
"60",127,"2016-01-09","14:04:00",14,39.978717,-75.157917,"Joint","Temple University",c(-75.157917, 39.978717)
"61",128,"2016-01-09","14:28:00",14,39.990929,-75.158503,"Joint","North Broad",c(-75.158503, 39.990929)
"62",128,"2016-01-09","14:28:00",14,39.990929,-75.158503,"Trenton Line","North Philadelphia",c(-75.158503, 39.990929)
"63",128,"2016-01-09","14:28:00",14,39.990929,-75.158503,"Chestnut Hill West Line","North Philadelphia",c(-75.158503, 39.990929)
"64",131,"2016-01-08","13:40:00",13,40.051887,-75.199738,"Chestnut Hill West Line","Allen Lane",c(-75.199738, 40.051887)
"65",131,"2016-01-08","13:40:00",13,40.051887,-75.199738,"Chestnut Hill West Line","Carpenter",c(-75.199738, 40.051887)
"66",132,"2016-01-08","16:18:00",16,40.054219,-75.17995,"Chestnut Hill East Line","Washington Lane",c(-75.17995, 40.054219)
"67",132,"2016-01-08","16:18:00",16,40.054219,-75.17995,"Chestnut Hill East Line","Stenton",c(-75.17995, 40.054219)
"68",133,"2016-01-07","14:15:00",14,40.035234,-75.175399,"Chestnut Hill East Line","Germantown",c(-75.175399, 40.035234)
"69",133,"2016-01-07","14:15:00",14,40.035234,-75.175399,"Chestnut Hill West Line","Chelten Avenue",c(-75.175399, 40.035234)
"70",134,"2016-01-09","14:39:00",14,39.987024,-75.156177,"Joint","North Broad",c(-75.156177, 39.987024)
"71",134,"2016-01-09","14:39:00",14,39.987024,-75.156177,"Joint","Temple University",c(-75.156177, 39.987024)
"72",135,"2016-01-09","12:24:00",12,40.036045,-75.180983,"Chestnut Hill West Line","Tulpehocken",c(-75.180983, 40.036045)
