"","line_name","station_na","city","zip","latitude","longitude","count_","wkb_geometry"
"1","Airport Line","Airport Terminals E&F","Philadelphia","19153",39.879076506,-75.239952005,"(0.1,50]",c(-75.2399520048811, 39.879076647969)
"2","Airport Line","Airport Terminals C&D","Philadelphia","19153",39.877384646,-75.241297405,"(0.1,50]",c(-75.2412974050512, 39.8773847875779)
"3","Airport Line","Airport Terminal B","Philadelphia","19153",39.876300251,-75.244758214,"(0.1,50]",c(-75.2447582139204, 39.8763003931487)
"4","Airport Line","Airport Terminal A","Philadelphia","19153",39.875939607,-75.246580226,"(0.1,50]",c(-75.2465802259966, 39.8759397488204)
"5","Airport Line","Eastwick","Philadelphia","19153",39.891650457,-75.24499051,"(0.1,50]",c(-75.2449905097042, 39.8916505991958)
"6","Wilmington Newark Line","Newark","Newark","19711",39.670254673,-75.752576934,NA,c(-75.7525769340782, 39.6702548135089)
"7","Wilmington Newark Line","Wilmington","Wimington","19801",39.736952045,-75.550934017,NA,c(-75.5509340169913, 39.7369521858947)
"8","Wilmington Newark Line","Claymont","Claymont","19703",39.797811221,-75.45207724,NA,c(-75.4520772398727, 39.7978113628042)
"9","Wilmington Newark Line","Marcus Hook","Marcus Hook","19061",39.82168688,-75.419499147,NA,c(-75.4194991467681, 39.821687021339)
"10","Chestnut Hill West Line","Highland","Philadelphia","19118",40.070129627,-75.210998198,"(0.1,50]",c(-75.2109981976087, 40.0701297700729)
"11","Wilmington Newark Line","Chester T.C.","Chester","19013",39.849558603,-75.359923742,NA,c(-75.3599237421869, 39.8495587445405)
"12","Wilmington Newark Line","Eddystone","Crum Lynne","19022",39.857420001,-75.34166091,NA,c(-75.341660909923, 39.8574201430253)
"13","Wilmington Newark Line","Crum Lynne","Ridley Park","19078",39.871861905,-75.330957099,NA,c(-75.330957098891, 39.8718620472957)
"14","Wilmington Newark Line","Ridley Park","Ridley Park","19078",39.88053105,-75.322069276,NA,c(-75.3220692762761, 39.8805311916612)
"15","Wilmington Newark Line","Prospect Park","Propect Park","19076",39.888143301,-75.309411072,NA,c(-75.3094110720633, 39.8881434428657)
"16","Wilmington Newark Line","Norwood","Norwood","19074",39.891237576,-75.302145903,NA,c(-75.3021459034107, 39.8912377177465)
"17","Wilmington Newark Line","Glenolden","Glenolden","19036",39.896222779,-75.290164058,NA,c(-75.2901640577251, 39.8962229206513)
"18","Wilmington Newark Line","Folcroft","Folcroft","19032",39.900552057,-75.279754287,NA,c(-75.2797542872306, 39.9005521985252)
"19","Wilmington Newark Line","Sharon Hill","Sharon Hill","19079",39.904282991,-75.270835927,NA,c(-75.2708359272362, 39.9042831331601)
"20","Wilmington Newark Line","Curtis Park","Sharon Hill","19079",39.908034056,-75.265000442,NA,c(-75.2650004423165, 39.9080341982198)
"21","Wilmington Newark Line","Darby","Darby","19023",39.912942542,-75.254580264,"(0.1,50]",c(-75.254580263968, 39.9129426844574)
"22","Warminster Line","Roslyn","Abington","19001",40.120884759,-75.134122485,NA,c(-75.1341224853643, 40.1208849019167)
"23","Warminster Line","Crestmont","Willow Grove","19090",40.133267465,-75.118634993,NA,c(-75.1186349933103, 40.1332676078139)
"24","Warminster Line","Willow Grove","Willow Grove","19090",40.143672424,-75.114357026,NA,c(-75.1143570262557, 40.1436725669355)
"25","Warminster Line","Hatboro","Hatbro","19040",40.175586647,-75.102808867,NA,c(-75.1028088669356, 40.1755867903981)
"26","Warminster Line","Warminster","Warminster","18974",40.195101429,-75.089121409,NA,c(-75.0891214093255, 40.1951015724796)
"27","Media Elwyn Line","Elwyn","Media","19063",39.907816961,-75.411187368,NA,c(-75.4111873678028, 39.9078171027771)
"28","Media Elwyn Line","Media","Media","19063",39.914291227,-75.394764173,NA,c(-75.3947641734278, 39.9142913689516)
"29","Media Elwyn Line","Moylan-Rose Valley","Media","19063",39.905844558,-75.38809505,NA,c(-75.3880950502463, 39.9058446997731)
"30","Media Elwyn Line","Wallingford","Wallingford","19086",39.903753819,-75.371712778,NA,c(-75.3717127777225, 39.9037539612763)
"31","Media Elwyn Line","Swarthmore","Swarthmore","19081",39.902296684,-75.351126252,NA,c(-75.3511262519749, 39.9022968257379)
